0,CombatZoneResize,241,226,406,391,TLResume
0,HeartTeleport,320,304,,,
0,HeartMode,0,,,,
0,TLPause,,,,,
0,HeartMaxFallSpeed,750,,,,
0,SET,Loop,24,,,
0,:RndAttack,,,,,
0,JMPZ,End,$Loop,,,
0,SUB,Loop,$Loop,1,,
0,RND,Jump,7,,,
0,ADD,Jump,$Jump,1,,
0,JMPREL,$Jump,,,,
0,JMPABS,BoneStab0,,,,
0,JMPABS,BoneStab1,,,,
0,JMPABS,BoneStab2,,,,
0,JMPABS,BoneStab3,,,,
0,JMPABS,BoneStab4,,,,
0,JMPABS,BoneStab5,,,,
0,:BoneStab0,,,,,
0,RND,Side,2,,,
0,JMPZ,BoneStab0Other,$Side,,,
0,SansBody,HandRight,,,,
0,SansSlam,0,,,,
0.4,BoneStab,0,35,0,0,
0.25,JMPABS,RndAttack,,,,
0,:BoneStab0Other,,,,,
0,SansBody,HandLeft,,,,
0,SansSlam,0,,,,
0.4,BoneStab,0,35,0,0,
0.25,JMPABS,RndAttack,,,,
0,:BoneStab1,,,,,
0,RND,Side,2,,,
0,JMPZ,BoneStab1Other,$Side,,,
0,SansBody,HandUp,,,,
0,SansSlam,0,,,,
0.4,BoneStab,0,35,0,0,
0.25,JMPABS,RndAttack,,,,
0,:BoneStab1Other,,,,,
0,SansBody,HandDown,,,,
0,SansSlam,0,,,,
0.4,BoneStab,0,35,0,0,
0.25,JMPABS,RndAttack,,,,
0,:BoneStab2,,,,,
0,RND,Side,2,,,
0,JMPZ,BoneStab2Other,$Side,,,
0,SansBody,HandRight,,,,
0,SansSlam,1,,,,
0.4,BoneStab,1,35,0,0,
0.25,JMPABS,RndAttack,,,,
0,:BoneStab2Other,,,,,
0,SansBody,HandLeft,,,,
0,SansSlam,1,,,,
0.4,BoneStab,1,35,0,0,
0.25,JMPABS,RndAttack,,,,
0,:BoneStab3,,,,,
0,RND,Side,2,,,
0,JMPZ,BoneStab3Other,$Side,,,
0,SansBody,HandUp,,,,
0,SansSlam,1,,,,
0.4,BoneStab,1,35,0,0,
0.25,JMPABS,RndAttack,,,,
0,:BoneStab3Other,,,,,
0,SansBody,HandDown,,,,
0,SansSlam,1,,,,
0.4,BoneStab,1,35,0,0,
0.25,JMPABS,RndAttack,,,,
0,:BoneStab4,,,,,
0,RND,Side,2,,,
0,JMPZ,BoneStab4Other,$Side,,,
0,SansBody,HandRight,,,,
0,SansSlam,2,,,,
0.4,BoneStab,2,35,0,0,
0.25,JMPABS,RndAttack,,,,
0,:BoneStab4Other,,,,,
0,SansBody,HandLeft,,,,
0,SansSlam,2,,,,
0.4,BoneStab,2,35,0,0,
0.25,JMPABS,RndAttack,,,,
0,:BoneStab5,,,,,
0,RND,Side,2,,,
0,JMPZ,BoneStab5Other,$Side,,,
0,SansBody,HandUp,,,,
0,SansSlam,3,,,,
0.4,BoneStab,3,35,0,0,
0.25,JMPABS,RndAttack,,,,
0,:BoneStab5Other,,,,,
0,SansBody,HandDown,,,,
0,SansSlam,3,,,,
0.4,BoneStab,3,35,0,0,
0.25,JMPABS,RndAttack,,,,
0,:End,,,,,
0.25,EndAttack,,,,,
