0,CombatZoneResize,121,186,526,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0.5,SET,Loop,40,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,21,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,23,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,25,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,27,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0,0.13333
0,RND,AngE,360,,,,,,
0,SIN,S,$AngE,,,,,,
0,COS,C,$AngE,,,,,,
0,MUL,EndS,$S,225,,,,,
0,MUL,EndC,$C,235,,,,,
0,MUL,S,$S,400,,,,,
0,MUL,C,$C,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndS,$EndS,$HeartX,,,,,
0,ADD,EndC,$EndC,$HeartY,,,,,
0,ADD,S,$S,$HeartX,,,,,
0,ADD,C,$C,$HeartY,,,,,
0,JMPNL,43,$EndS,50,,,,,
0,SET,EndS,50,,,,,,
0,JMPNG,45,$EndS,590,,,,,
0,SET,EndS,590,,,,,,
0,JMPNL,47,$EndC,40,,,,,
0,SET,EndC,40,,,,,,
0,JMPNG,49,$EndC,440,,,,,
0,SET,EndC,440,,,,,,
0,ANGLE,AngE,$EndS,$EndC,$HeartX,$HeartY,,,
0,GasterBlaster,0,$S,$C,$EndS,$EndC,$AngE,0,0.13333
0.399998,JMPNZ,6,$Loop,,,,,,
0,EndAttack,,,,,,,,
